fsc_adj,chl_adj,pe_adj
8305.833333333336,19723.916666666668,-39508.666666666664
"-20323.166666666664",-20468.083333333332,-37145.666666666664
"-78.16666666666424",12059.916666666668,-39913.666666666664
"-35849.166666666664",-16527.083333333332,-43497.666666666664
"-3326.1666666666642",9584.916666666668,-40622.666666666664
"-8505.166666666664",-21183.083333333332,-41060.666666666664
"-31433.166666666664",-18175.083333333332,-41022.666666666664
"-29907.166666666664",-20932.083333333332,-40676.666666666664
"-32505.166666666664",-17503.083333333332,-38985.666666666664
"-24387.166666666664",-17540.083333333332,-40708.666666666664
"-24814.166666666664",-18666.083333333332,-41854.666666666664
"-39251.166666666664",-21588.083333333332,-39684.666666666664
1894.8333333333358,11851.916666666668,-41369.666666666664
"-36067.166666666664",-24223.083333333332,-41022.666666666664
"-32222.166666666664",-19466.083333333332,-40425.666666666664
"-31561.166666666664",-19471.083333333332,-40473.666666666664
"-33683.166666666664",-18682.083333333332,-40702.666666666664
"-2131.1666666666642",12667.916666666668,-37262.666666666664
"-38878.166666666664",-15210.083333333332,-41641.666666666664
"-37091.166666666664",-15770.083333333332,-41252.666666666664
"-22595.166666666664",-18842.083333333332,-40174.666666666664
"-3881.1666666666642",6816.916666666668,-40441.666666666664
"-36830.166666666664",-13135.083333333332,-40916.666666666664
"-11987.166666666664",-16964.083333333332,-39977.666666666664
"-8931.166666666664",9227.916666666668,-41401.666666666664
"-25822.166666666664",-23610.083333333332,-41492.666666666664
"-20947.166666666664",-19866.083333333332,-40169.666666666664
"-32563.166666666664",-13087.083333333332,-41113.666666666664
10886.833333333336,31029.916666666668,-29897.666666666664
"-30835.166666666664",-19348.083333333332,-39700.666666666664
"-39721.166666666664",-17892.083333333332,-43646.666666666664
"-1715.1666666666642",2928.916666666668,-41182.666666666664
"-32542.166666666664",-12458.083333333332,-40782.666666666664
"-2707.1666666666642",-18042.083333333332,-39833.666666666664
"-35795.166666666664",-17060.083333333332,-41529.666666666664
"-3913.1666666666642",6741.916666666668,-37732.666666666664
"-33187.166666666664",-18735.083333333332,-41833.666666666664
"-31881.166666666664",-22090.083333333332,-38820.666666666664
"-40585.166666666664",-19924.083333333332,-40046.666666666664
"-33390.166666666664",-19103.083333333332,-38313.666666666664
"-36542.166666666664",-21220.083333333332,-42132.666666666664
"-28169.166666666664",-20079.083333333332,-38196.666666666664
"-29987.166666666664",-15012.083333333332,-39785.666666666664
"-33939.166666666664",-17940.083333333332,-43614.666666666664
"-867.1666666666642",3973.916666666668,-39513.666666666664
"-32611.166666666664",-20036.083333333332,-41182.666666666664
"-26638.166666666664",-22735.083333333332,-40334.666666666664
449.83333333333576,10176.916666666668,-34910.666666666664
"-40041.166666666664",-20330.083333333332,-40372.666666666664
"-40435.166666666664",-18186.083333333332,-41774.666666666664
"-38254.166666666664",-18175.083333333332,-40740.666666666664
"-9251.166666666664",9291.916666666668,-40212.666666666664
"-34723.166666666664",-21882.083333333332,-40505.666666666664
"-38398.166666666664",-21119.083333333332,-41785.666666666664
"-30723.166666666664",-19994.083333333332,-39342.666666666664
"-34062.166666666664",-23743.083333333332,-40526.666666666664
"-20451.166666666664",-20538.083333333332,-40281.666666666664
